age;education;sex;workhour;earning
41;13;1;24;1
23;3;1;40;1
36;10;1;40;1
40;14;2;55;2
35;14;1;40;2
24;9;1;40;1
26;14;2;40;1
19;9;1;40;1
51;13;1;50;2
42;10;2;40;1
37;9;2;35;1
18;7;2;40;1
36;13;1;36;2
35;9;1;60;1
58;9;2;35;2
17;7;2;12;1
44;9;1;40;1
37;9;1;40;2
35;10;2;40;1
60;9;1;40;1
54;4;1;40;2
37;13;1;60;2
50;12;2;40;1
38;13;1;50;1
45;13;1;55;1
25;6;1;40;1
31;10;1;40;1
64;2;1;40;1
90;9;1;40;1
54;9;1;20;1
53;1;2;35;1
18;9;2;40;1
60;6;2;10;1
66;9;1;50;1
75;11;2;20;1
65;9;2;40;1
35;7;1;40;1
41;9;2;38;1
25;10;1;42;1
33;10;2;40;1
28;15;1;55;2
59;9;1;40;1
40;10;2;38;1
41;13;1;50;2
38;14;1;70;2
23;9;1;40;1
40;13;1;40;2
41;9;2;20;1
24;12;1;50;1
20;10;1;20;1
38;10;1;40;1
56;9;1;35;1
58;9;1;45;2
32;9;2;34;1
40;12;1;60;2
45;9;1;40;1
41;15;2;40;2
42;13;2;40;1
59;6;2;30;1
19;10;1;40;1
58;10;1;20;1
42;9;1;40;2
20;9;2;40;1
32;9;2;30;1
45;11;2;45;1
50;4;1;40;1
36;13;2;40;1
45;9;1;60;1
17;7;1;12;1
59;10;1;40;1
26;7;1;40;1
37;10;1;75;2
19;10;1;24;1
64;9;1;40;2
33;13;2;45;1
33;9;2;40;2
61;9;1;40;2
17;5;1;24;1
50;14;1;98;1
27;14;1;35;1
30;9;2;40;1
43;9;1;40;1
44;10;1;40;2
35;10;2;40;1
25;10;2;40;1
24;10;2;48;2
22;13;2;15;1
42;10;1;40;2
34;12;2;45;1
60;13;2;42;1
21;9;1;40;1
57;14;1;40;2
41;15;1;60;2
50;10;1;45;1
25;13;2;40;1
50;4;1;40;1
36;13;1;45;1
31;9;2;40;1
29;13;1;56;1
21;10;1;45;1
27;13;2;40;1
65;9;1;16;1
37;13;2;60;1
39;14;2;40;1
24;9;1;40;1
38;9;1;80;1
48;13;1;40;2
21;10;2;25;1
31;9;1;45;2
55;9;1;40;2
24;10;2;40;1
43;9;2;40;1
26;12;1;45;1
46;12;2;33;1
35;12;1;40;2
41;10;1;54;2
26;13;1;40;1
34;14;1;35;2
19;10;2;25;1
36;13;2;40;2
22;10;1;15;1
24;10;1;40;1
77;10;1;40;1
22;3;2;40;1
29;10;2;40;1
62;9;2;24;1
39;9;1;40;1
43;10;1;50;1
35;9;1;45;1
29;7;2;40;1
76;14;1;10;1
63;9;1;45;1
23;11;2;15;1
43;10;2;50;2
58;9;1;40;1
66;9;1;55;1
41;10;1;45;1
26;13;1;40;1
47;11;1;40;1
55;6;1;40;1
53;9;1;40;1
17;3;1;48;1
30;9;1;40;1
49;14;1;60;1
19;9;1;30;1
45;9;1;40;1
26;12;1;40;1
38;11;1;40;2
36;9;1;40;2
33;9;1;20;1
22;10;2;40;1
43;13;1;42;1
67;7;1;8;1
30;11;2;40;1
56;12;1;25;1
31;13;1;25;1
33;13;1;40;2
26;9;1;40;1
33;13;1;40;2
46;7;1;30;1
59;13;1;40;2
38;9;1;40;2
65;7;1;40;1
40;11;1;40;2
42;9;2;35;1
26;5;1;40;1
36;6;2;24;1
62;14;1;40;2
43;13;1;45;1
43;13;1;45;2
22;9;1;55;1
28;9;1;40;1
56;10;1;45;1
22;12;2;15;1
57;13;2;45;2
39;9;2;40;1
26;10;2;15;1
17;7;1;10;1
40;11;1;38;2
45;9;1;40;1
44;9;1;40;1
20;10;2;10;1
33;9;2;40;1
23;10;1;40;1
46;14;1;30;1
38;9;1;50;1
54;9;1;40;1
46;3;2;45;1
25;10;1;40;1
46;10;2;40;1
36;10;2;40;1
23;9;2;25;1
29;9;1;40;1
44;10;2;6;2
19;10;2;16;1
19;9;2;40;1
35;9;2;40;2
27;13;1;50;1
46;12;1;40;1
34;13;1;45;2
34;9;2;35;1
44;10;1;40;1
45;10;2;40;1
20;9;2;35;1
25;13;1;55;2
52;13;1;50;2
20;10;1;40;1
28;10;2;40;1
50;13;1;40;2
34;11;2;64;1
28;4;1;40;1
41;14;1;65;2
28;9;1;40;1
46;9;1;25;1
28;10;2;40;2
32;10;1;50;1
41;10;2;24;1
24;9;2;40;1
33;10;2;40;1
46;16;1;60;2
31;10;1;40;1
35;8;1;50;2
52;2;1;40;1
30;7;2;19;1
34;7;1;40;1
34;9;2;40;1
20;10;1;30;1
17;7;1;18;1
32;13;2;40;2
29;9;1;40;1
33;6;2;35;1
25;9;1;60;1
36;14;1;40;1
23;9;1;72;1
63;9;1;40;2
47;14;1;40;1
80;9;1;24;1
17;7;1;40;1
40;13;2;40;1
30;12;2;25;2
27;10;1;40;1
33;14;1;50;2
34;9;1;60;1
34;10;2;40;1
23;10;1;40;1
42;10;2;40;1
29;13;1;40;1
45;9;2;28;1
24;9;1;40;1
44;10;1;40;2
27;5;1;40;1
20;10;1;35;1
44;9;2;40;1
51;9;1;40;1
20;9;1;40;1
17;7;2;5;1
19;9;2;40;1
45;10;1;55;2
60;9;1;40;2
42;12;1;40;2
44;9;2;40;2
40;11;1;40;2
30;9;2;40;1
38;10;1;50;1
23;9;1;60;1
32;10;1;40;1
44;12;1;40;1
54;9;1;40;1
32;13;1;50;1
50;2;1;40;1
24;13;2;20;1
37;9;2;60;1
52;9;1;40;1
38;10;1;40;1
49;14;1;45;2
30;13;2;16;2
60;10;1;40;2
22;10;1;40;1
35;9;1;40;1
30;9;1;60;1
67;11;2;24;1
46;13;2;40;1
17;5;1;6;1
22;10;1;30;1
27;6;1;40;1
23;9;2;35;1
33;12;1;45;1
43;10;1;20;1
28;13;1;20;1
41;9;2;40;1
52;8;1;40;1
25;10;2;20;1
63;2;1;35;1
59;9;1;45;1
45;13;2;40;1
38;13;1;60;2
40;9;2;35;1
46;9;1;40;1
35;12;2;60;1
34;9;2;25;1
33;13;1;20;1
41;9;2;36;1
20;10;1;40;1
23;3;1;40;1
26;10;2;35;1
72;9;1;20;1
23;9;1;40;1
62;9;1;40;1
52;10;1;40;1
58;10;2;42;1
25;13;2;40;1
24;13;1;40;1
19;10;1;8;1
43;10;1;40;1
47;9;2;40;1
39;9;2;40;1
49;11;1;42;1
53;3;2;30;1
32;11;1;45;1
34;10;1;50;2
28;9;1;45;1
57;11;2;38;1
25;10;2;20;1
20;10;1;24;1
21;10;2;35;1
34;13;1;50;2
38;13;1;80;2
50;9;1;50;2
24;10;1;50;1
37;10;1;45;2
44;10;1;58;2
28;10;2;40;1
42;13;1;40;2
74;10;2;9;1
38;9;1;50;1
44;14;1;40;1
44;7;2;46;1
26;9;1;40;1
36;9;1;40;1
41;12;2;50;2
67;15;1;48;2
39;8;1;50;1
57;2;2;30;1
29;11;1;40;1
31;13;2;45;1
34;9;2;40;1
44;10;1;40;1
29;16;1;40;1
30;10;2;40;1
27;9;1;40;1
27;10;1;50;1
32;9;2;45;1
58;6;2;8;1
35;10;1;40;1
21;9;1;36;1
28;10;1;40;1
46;10;1;50;1
36;9;2;40;1
72;7;2;40;1
35;9;2;40;1
33;11;2;40;2
69;7;2;40;1
35;9;1;40;1
31;9;2;20;1
34;9;2;32;1
30;7;1;40;1
28;13;1;55;1
54;13;1;35;2
47;10;1;50;2
24;9;2;40;1
52;13;1;60;2
20;9;1;48;1
43;14;1;45;1
45;4;2;40;1
29;9;1;35;1
47;14;1;42;1
24;9;1;40;1
51;9;1;40;1
17;7;1;12;1
37;11;1;40;2
27;16;2;70;1
29;13;1;40;2
18;8;1;25;1
36;12;2;35;1
58;13;2;40;1
26;10;1;45;1
65;10;1;30;2
57;9;1;40;2
59;9;1;40;1
27;9;1;40;1
31;13;1;40;1
21;10;2;24;1
29;10;1;60;1
18;7;1;40;1
52;6;1;47;2
57;13;1;80;1
42;9;1;40;1
55;9;2;40;1
60;4;1;48;2
31;13;1;40;2
23;13;2;40;1
27;9;1;40;1
23;10;2;25;1
42;15;1;50;2
25;10;1;40;1
49;13;2;45;1
32;13;1;40;1
19;10;1;28;1
60;4;2;40;1
42;5;1;40;1
35;12;1;40;1
48;9;2;37;1
51;14;1;40;2
29;9;1;40;1
36;9;1;40;1
17;6;2;21;1
52;14;2;60;1
24;9;1;40;1
24;9;1;50;1
26;13;1;40;1
27;13;2;20;1
39;9;1;60;1
30;9;1;45;1
50;9;1;32;1
52;13;1;55;1
46;15;1;45;2
23;13;2;20;1
45;7;2;20;1
65;5;2;24;1
29;11;1;55;1
47;5;1;40;1
30;9;1;60;1
34;9;1;45;2
38;9;1;64;1
33;10;1;40;2
49;13;1;26;2
47;10;2;40;1
49;6;2;40;1
43;10;1;60;2
30;13;2;40;2
58;9;1;60;1
19;9;2;14;1
21;13;1;40;1
33;13;1;60;2
47;3;1;50;1
52;16;1;60;2
26;9;1;55;1
60;9;1;40;1
21;10;1;40;1
36;10;1;50;2
31;10;1;45;1
50;16;1;40;2
31;9;2;40;1
71;9;1;15;1
58;9;1;50;1
30;13;1;40;2
20;10;1;20;1
24;9;1;50;1
35;16;1;40;2
38;10;2;45;1
27;9;2;32;1
29;10;2;40;1
70;5;2;15;1
34;9;1;45;1
44;4;1;35;1
43;9;1;40;2
44;8;1;40;2
35;14;1;60;1
27;10;1;40;1
43;14;1;38;1
20;10;2;25;1
42;12;2;40;2
27;10;1;40;1
42;9;1;40;2
20;7;2;40;1
24;5;1;40;1
48;10;1;40;1
17;7;2;20;1
17;7;1;10;1
33;13;1;40;2
50;9;1;50;2
22;9;2;40;1
17;8;1;16;1
32;10;1;40;1
31;9;1;45;1
58;9;1;50;1
29;9;1;48;1
37;11;1;40;2
34;9;1;40;2
23;10;1;40;1
18;7;2;5;1
34;9;2;40;1
66;4;1;4;1
45;13;2;55;1
41;14;1;35;1
26;9;1;30;1
54;10;1;40;1
24;10;2;45;1
42;10;1;50;1
20;10;1;20;1
23;13;2;20;1
25;12;1;45;1
35;14;1;60;2
31;14;1;40;2
30;13;2;40;1
19;9;2;20;1
36;13;1;50;1
31;13;2;40;1
21;10;1;30;1
31;10;1;40;1
46;16;2;65;2
44;13;2;50;2
40;8;1;40;1
45;10;1;40;1
60;9;1;35;1
18;7;1;25;1
28;13;1;40;1
36;10;2;40;1
36;13;1;40;1
40;11;1;40;1
36;13;2;35;1
31;9;2;40;1
33;9;1;40;1
19;9;2;40;1
22;10;2;15;1
34;13;1;45;2
33;9;1;40;1
41;9;1;60;1
29;13;1;40;1
50;9;1;42;2
42;13;1;45;2
43;13;1;40;2
44;9;2;40;1
20;10;2;20;1
31;9;1;40;1
65;7;1;59;2
23;10;2;24;1
55;10;2;40;1
26;11;1;45;1
25;11;2;15;1
45;10;2;40;1
35;10;1;40;1
36;10;2;36;1
43;13;1;50;1
56;9;2;20;1
42;13;1;40;2
19;10;2;25;1
55;9;1;72;1
42;14;2;50;2
26;11;1;40;1
17;8;1;20;1
42;13;2;40;2
55;9;1;40;2
32;10;2;40;1
29;7;1;40;1
46;13;1;37;1
29;13;1;40;2
22;13;1;20;1
58;6;1;40;1
23;9;1;50;1
39;9;1;40;1
27;11;1;38;1
54;9;1;40;2
33;13;2;45;1
46;9;2;40;2
37;9;1;40;1
36;9;2;18;1
59;9;2;38;2
34;9;1;40;1
53;16;1;70;2
51;13;1;55;2
32;6;2;42;1
31;10;1;40;1
22;10;2;30;1
47;13;2;50;1
32;9;1;40;1
26;10;2;38;1
37;3;1;32;1
31;9;1;55;1
37;11;2;24;2
55;9;1;38;1
23;11;1;56;1
36;10;2;40;1
34;14;1;40;1
43;13;1;50;2
54;10;1;40;1
43;10;1;40;1
28;11;2;42;1
40;11;1;50;2
41;10;1;60;1
40;13;2;55;2
42;10;2;38;1
61;9;1;50;1
18;8;1;30;1
59;9;1;16;1
21;9;2;40;1
48;11;1;50;2
41;13;1;40;1
18;10;1;33;1
23;9;2;40;1
60;9;1;60;2
22;10;1;20;1
61;9;1;40;1
25;9;1;40;1
46;14;1;35;2
43;13;1;40;2
43;12;1;40;1
24;9;1;30;1
68;7;1;20;1
31;9;2;38;1
17;7;2;20;1
32;9;1;48;2
50;14;1;40;1
33;13;1;47;2
64;13;1;40;2
20;9;1;30;1
30;9;2;36;1
22;10;1;40;1
43;10;1;45;1
22;10;1;40;1
17;6;1;20;1
47;9;2;75;1
41;11;2;60;1
56;10;1;50;2
64;9;1;45;1
47;9;1;50;2
48;11;1;40;1
31;14;2;46;1
29;11;1;40;1
30;9;2;40;1
32;9;1;60;1
57;9;1;42;2
62;9;2;40;1
39;9;2;24;1
43;10;1;25;1
24;13;1;40;1
42;7;1;15;1
53;10;2;40;2
26;10;1;40;1
73;9;1;40;1
72;7;2;24;1
55;9;1;40;1
25;9;1;40;1
41;13;2;50;2
24;13;1;50;1
63;9;1;6;1
17;7;1;20;1
35;10;1;50;1
51;10;1;40;2
62;13;2;48;1
55;9;1;40;2
43;10;1;40;1
40;9;2;50;1
37;13;1;45;2
39;13;1;40;1
31;9;1;18;1
61;14;2;40;2
26;11;2;55;1
46;9;1;50;1
26;13;2;40;1
48;16;1;50;2
34;9;1;40;1
34;9;2;40;1
59;9;1;40;2
34;13;2;40;1
49;13;2;56;2
18;7;2;20;1
43;9;1;40;1
48;7;1;50;1
28;10;1;70;1
33;9;1;40;1
24;10;2;15;1
21;6;1;40;1
17;7;1;28;1
39;10;1;50;2
29;13;1;40;1
44;13;1;40;2
24;10;1;50;1
71;14;1;40;2
51;13;1;40;2
55;3;1;25;1
41;13;1;60;2
23;9;2;7;1
38;11;2;40;1
39;9;1;40;2
19;9;2;30;1
49;5;2;40;1
32;13;1;40;2
27;9;1;70;1
38;13;1;50;2
33;10;2;60;1
63;10;1;15;1
23;13;1;28;1
33;10;1;60;1
54;9;1;40;1
29;11;2;45;1
48;10;2;30;1
35;13;1;40;1
28;11;2;40;1
37;13;1;50;2
42;15;1;65;2
40;14;1;40;1
47;10;1;55;1
22;13;2;50;1
30;13;1;45;2
28;9;1;40;1
63;4;1;55;1
51;5;1;20;1
22;9;2;40;1
27;12;1;40;1
35;9;1;45;1
46;9;2;38;1
37;10;1;52;1
24;13;1;15;1
37;9;1;10;1
53;10;1;40;1
27;9;1;30;1
38;10;1;44;1
53;6;1;60;1
34;10;1;40;1
23;9;1;40;1
39;13;1;45;2
43;14;2;50;1
67;9;1;40;2
81;9;1;30;1
21;10;1;20;1
23;10;1;25;1
25;10;1;40;1
42;3;2;38;1
38;10;2;40;1
64;9;1;5;1
32;9;1;40;1
37;9;1;40;1
51;14;1;60;2
22;10;2;42;1
33;2;2;40;1
42;9;1;55;1
19;10;2;10;1
51;1;1;40;1
23;9;2;40;1
37;7;1;44;2
37;9;1;99;2
47;14;2;25;1
41;15;1;40;2
33;9;1;30;1
31;13;1;40;2
31;12;2;40;1
35;9;1;40;1
38;9;1;40;2
18;9;2;45;1
20;9;1;40;1
54;10;2;35;1
40;10;2;40;1
36;13;2;45;2
43;10;1;35;1
44;10;1;40;1
44;9;2;40;2
43;14;1;43;2
51;4;2;40;1
18;9;2;20;1
51;10;1;40;1
41;6;1;30;1
44;10;1;70;2
33;6;1;40;1
33;13;1;40;2
42;12;1;40;2
25;10;1;45;1
32;9;2;38;1
32;13;1;70;1
36;6;2;40;1
28;9;1;40;1
20;9;2;20;1
35;10;1;60;2
55;9;1;20;1
48;13;1;40;2
36;11;2;20;1
34;9;1;35;2
28;13;2;35;1
67;13;1;40;2
37;9;1;40;1
44;9;1;70;1
25;10;2;40;1
21;10;2;40;1
40;14;1;35;2
78;9;2;40;1
34;9;1;40;1
49;9;2;44;1
22;12;2;40;1
23;9;2;40;1
60;9;1;42;1
45;9;1;40;2
63;11;2;20;1
41;9;2;35;1
47;9;2;40;1
44;9;1;40;1
51;10;2;40;1
46;13;1;40;1
41;11;1;40;1
50;9;1;30;1
47;9;1;50;2
35;9;1;45;1
56;9;1;55;2
45;14;1;45;1
48;13;1;58;2
40;10;1;40;1
39;13;1;50;2
20;10;1;40;1
50;16;1;65;2
38;9;2;40;2
23;13;2;60;1
31;9;1;16;1
58;13;1;40;1
66;9;1;40;1
39;9;1;40;2
54;9;1;52;2
26;10;1;50;1
51;9;2;40;1
34;11;1;40;1
50;9;1;40;2
42;10;1;44;2
38;14;1;25;1
48;4;1;40;1
33;11;2;40;2
51;9;2;32;1
22;9;1;40;1
19;9;1;30;1
41;10;1;50;1
48;14;1;35;2
42;9;2;30;1
34;10;1;40;1
23;9;2;40;1
56;9;1;50;1
30;13;1;45;1
45;9;1;55;2
48;6;2;40;1
48;14;1;50;1
31;11;2;40;1
20;12;1;20;1
27;10;1;40;1
32;9;2;40;1
76;4;1;2;1
19;9;1;40;1
66;5;1;1;1
37;9;1;75;1
34;9;2;30;1
34;7;2;8;1
90;9;2;40;1
23;10;2;40;1
43;10;2;40;1
44;13;1;60;2
24;10;2;37;1
28;15;1;55;1
64;12;2;20;1
23;10;1;40;1
20;10;2;50;1
36;13;1;50;2
61;9;1;40;1
53;13;1;40;2
30;13;1;40;2
52;10;1;55;2
38;10;1;40;1
32;13;1;40;1
30;8;1;75;1
41;11;2;40;1
49;14;1;40;2
45;9;1;47;2
43;9;1;35;1
61;9;1;40;1
54;9;1;32;1
34;12;2;40;1
49;10;1;80;2
38;10;1;40;1
35;15;1;80;2
36;8;1;40;1
30;13;1;50;1
36;12;2;60;1
22;13;2;20;1
38;9;1;40;2
37;9;1;50;2
48;16;2;46;2
17;7;1;15;1
19;10;1;20;1
27;13;2;40;1
22;13;1;50;1
49;9;1;40;1
43;11;2;40;2
43;13;2;40;1
19;9;2;35;1
58;9;1;60;1
41;10;1;40;2
31;10;1;40;1
30;11;1;40;1
32;9;1;40;1
29;13;1;35;1
42;10;1;52;2
38;9;1;28;1
41;12;1;40;2
44;13;1;50;2
31;16;1;60;1
34;9;1;40;1
21;10;1;40;1
22;13;1;20;1
62;6;1;40;1
19;9;2;40;1
29;9;2;25;2
43;10;2;40;1
68;4;1;8;1
45;13;1;60;2
39;5;1;40;1
41;13;1;50;1
34;12;2;25;2
34;9;2;33;1
31;13;1;47;1
29;9;1;25;1
41;13;1;40;2
41;11;1;55;1
35;14;1;45;2
33;13;2;45;2
37;13;1;38;1
69;9;2;40;1
34;9;2;40;1
60;11;1;70;2
36;10;1;40;1
41;9;1;50;1
58;13;2;40;2
53;13;1;40;1
29;10;1;40;1
45;9;2;40;1
34;10;1;38;1
36;13;1;40;1
48;10;2;35;1
20;11;2;40;1
35;9;1;50;2
63;9;1;40;1
41;10;1;45;1
28;13;1;45;1
30;10;2;40;1
34;9;2;40;1
31;9;2;40;1
37;11;2;38;1
42;10;1;40;1
31;10;1;50;2
46;14;1;45;2
35;9;1;60;2
27;9;1;53;1
41;2;1;35;1
19;10;2;20;1
20;10;1;45;1
59;9;2;40;1
40;13;1;37;1
56;10;1;60;1
33;14;1;44;2
30;10;2;60;1
46;9;1;50;1
61;9;1;35;2
50;9;1;40;2
25;9;1;30;1
40;10;2;39;1
24;10;1;40;1
51;9;1;54;1
43;9;1;40;1
34;10;1;54;1
46;9;1;45;2
28;14;2;50;2
26;13;1;40;1
20;9;1;28;1
44;11;1;40;1
51;9;1;40;1
33;13;1;60;2
54;12;1;40;2
50;13;2;40;2
33;9;2;40;1
65;13;1;20;2
22;10;2;8;1
88;15;1;40;1
40;9;1;40;1
51;9;2;43;1
50;7;2;40;1
25;14;1;99;2
20;11;1;30;1
47;9;1;40;1
58;10;1;40;2
22;11;2;30;1
50;9;1;48;2
47;9;2;40;1
24;7;1;45;1
50;9;1;40;2
40;13;2;45;2
36;13;1;40;1
32;9;1;40;1
44;9;1;40;1
51;14;1;40;1
59;10;2;40;1
65;9;1;30;1
24;13;2;65;1
27;13;1;35;1
51;11;1;40;1
48;10;1;40;2
39;9;1;60;1
28;13;1;40;1
19;10;2;25;1
49;13;2;40;1
51;12;1;60;1
59;14;1;55;1
18;9;2;40;1
50;9;1;40;1
45;9;1;80;2
30;13;1;50;2
37;13;1;35;1
44;13;1;40;2
33;10;1;40;1
61;14;1;40;2
61;9;1;40;1
38;13;1;42;2
22;10;1;30;1
36;9;1;45;1
44;10;1;60;2
37;10;1;62;1
31;10;2;20;1
54;16;1;45;2
20;10;1;16;1
63;13;2;40;2
48;10;1;40;2
33;9;2;41;1
31;13;1;45;1
38;15;1;40;2
45;9;1;40;2
48;9;1;40;1
53;10;1;40;1
55;9;2;40;1
38;14;1;72;2
29;9;2;40;1
36;13;1;60;2
42;10;1;60;1
50;9;2;40;1
75;15;1;35;1
46;13;1;40;2
52;9;2;40;1
27;13;2;40;1
43;9;1;45;1
31;7;2;42;1
23;10;2;30;1
34;9;2;24;1
41;9;2;40;1
31;9;2;30;1
42;10;2;40;1
35;14;1;45;2
55;9;2;25;1
36;9;2;40;1
65;9;1;59;2
38;10;1;12;1
62;10;2;20;1
54;15;1;60;2
49;9;1;40;1
34;9;2;40;1
32;9;2;40;1
51;14;1;50;2
48;10;1;60;1
30;9;1;40;1
52;9;2;43;1
28;10;1;40;1
29;9;1;40;1
38;13;2;50;1
57;9;1;50;2
43;13;1;40;2
37;10;1;40;1
30;9;1;40;1
53;9;1;48;2
69;11;2;1;1
73;9;2;37;1
22;10;1;35;1
31;9;2;45;1
38;13;1;40;2
50;10;1;35;1
37;10;1;37;1
44;13;1;40;1
47;13;2;45;1
27;10;1;40;1
28;12;2;80;1
25;9;2;40;1
20;10;2;40;1
51;13;1;40;2
46;13;1;40;2
67;13;1;7;2
47;9;1;35;1
42;9;1;40;1
52;9;1;50;1
42;12;2;40;2
65;9;1;40;2
21;10;1;10;1
50;9;2;40;2
46;10;1;40;1
47;13;1;50;2
57;6;1;40;1
37;13;1;45;1
50;9;1;40;1
58;8;1;40;1
63;2;2;30;1
39;9;1;65;1
46;14;1;35;1
36;9;1;40;1
26;3;1;50;1
21;10;1;57;1
41;12;1;40;1
44;10;1;40;1
22;9;1;40;1
29;10;1;60;1
29;9;2;40;1
58;10;2;40;2
36;15;1;50;1
30;11;1;48;1
37;13;1;43;2
29;11;1;40;1
26;3;2;40;1
43;9;1;45;1
49;9;2;40;2
45;13;1;40;1
28;13;2;40;1
20;10;2;25;1
51;9;2;40;1
32;10;1;50;2
24;9;2;40;1
35;16;1;40;2
35;12;1;55;1
41;13;1;40;2
48;13;1;45;2
61;9;2;35;1
20;10;1;30;1
27;9;1;50;2
55;10;1;24;2
39;9;1;40;2
17;6;1;20;1
47;9;1;40;1
52;9;2;40;2
24;9;2;20;1
29;7;2;40;1
25;9;1;40;1
20;10;2;40;1
23;9;1;35;1
57;15;1;60;1
51;11;1;40;2
33;10;2;16;1
39;13;1;40;1
40;9;1;40;2
71;13;2;16;1
38;10;1;40;1
28;15;1;40;1
57;14;2;40;1
47;10;1;40;1
59;9;1;40;1
26;9;1;40;1
35;13;2;40;1
61;13;1;50;2
17;7;2;30;1
36;13;1;60;2
62;4;1;50;1
34;10;1;50;2
32;13;1;50;2
42;9;2;40;1
39;10;1;40;1
58;3;1;40;1
61;9;1;60;2
40;6;1;55;1
31;13;1;37;1
36;9;1;50;1
23;10;1;40;1
33;9;1;41;1
52;9;1;40;2
22;9;2;24;1
51;10;2;40;1
31;11;2;40;1
49;9;2;40;1
49;9;2;40;1
53;10;2;40;1
52;9;1;40;2
20;6;1;40;1
26;12;1;40;1
61;9;1;6;1
43;14;2;30;1
46;13;1;52;1
43;11;2;35;1
41;9;2;40;1
44;9;1;55;1
54;9;1;40;1
65;14;1;40;2
32;13;2;40;1
25;10;1;40;1
23;13;1;50;1
25;13;1;45;1
19;10;1;50;1
37;9;1;60;1
45;10;1;45;1
37;9;1;44;1
40;10;1;70;2
19;10;1;40;1
17;7;1;5;1
27;13;2;40;1
40;4;1;40;2
59;9;2;30;1
19;9;2;40;1
43;6;1;40;1
42;6;1;40;2
54;9;1;40;1
