age;workart;grade;married;position;familiyperson;color;sex;workhours;earning
47;Private;5th-6th;Married-spouse-absent;Machine-op-inspct;Other-relative;White;Male;40;<=50K
46;Self-emp-inc;HS-grad;Married-civ-spouse;Exec-managerial;Wife;Amer-Indian-Eskimo;Female;40;>50K
40;Private;HS-grad;Divorced;Adm-clerical;Unmarried;White;Female;38;<=50K
42;Private;HS-grad;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;40;<=50K
31;State-gov;Bachelors;Married-civ-spouse;Prof-specialty;Husband;White;Male;55;>50K
51;Private;11th;Married-civ-spouse;Handlers-cleaners;Husband;White;Male;40;<=50K
44;Private;Some-college;Divorced;Adm-clerical;Unmarried;White;Female;57;<=50K
37;Private;HS-grad;Separated;Tech-support;Unmarried;White;Female;40;<=50K
25;Private;11th;Never-married;Machine-op-inspct;Own-child;Black;Female;40;<=50K
63;Self-emp-not-inc;7th-8th;Married-civ-spouse;Farming-fishing;Husband;White;Male;60;>50K
52;Private;HS-grad;Divorced;Sales;Not-in-family;White;Male;45;<=50K
42;Local-gov;Some-college;Divorced;Tech-support;Not-in-family;White;Female;40;<=50K
28;Private;HS-grad;Never-married;Adm-clerical;Not-in-family;White;Female;40;<=50K
30;Private;Masters;Never-married;Prof-specialty;Not-in-family;White;Male;40;>50K
34;Private;Bachelors;Married-civ-spouse;Sales;Husband;White;Male;50;<=50K
37;Federal-gov;Assoc-acdm;Married-civ-spouse;Exec-managerial;Wife;White;Female;40;>50K
31;Private;HS-grad;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;45;<=50K
35;Private;Some-college;Divorced;Sales;Not-in-family;White;Female;35;<=50K
25;Private;Some-college;Never-married;Adm-clerical;Own-child;White;Female;40;<=50K
38;Private;HS-grad;Divorced;Exec-managerial;Not-in-family;White;Male;40;<=50K
43;Self-emp-not-inc;HS-grad;Never-married;Farming-fishing;Not-in-family;White;Male;60;<=50K
22;Private;Some-college;Never-married;Craft-repair;Other-relative;Asian-Pac-Islander;Female;40;<=50K
18;Private;11th;Never-married;Other-service;Own-child;White;Male;20;<=50K
26;Private;HS-grad;Never-married;Adm-clerical;Not-in-family;White;Female;40;<=50K
36;Private;HS-grad;Married-civ-spouse;Transport-moving;Husband;White;Male;60;>50K
43;Private;HS-grad;Divorced;Sales;Not-in-family;White;Male;20;<=50K
21;Private;Some-college;Never-married;Adm-clerical;Not-in-family;White;Female;25;<=50K
62;Federal-gov;Some-college;Widowed;Protective-serv;Not-in-family;White;Female;40;<=50K
26;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male;40;<=50K
54;Self-emp-not-inc;Bachelors;Married-civ-spouse;Exec-managerial;Husband;White;Male;40;>50K
18;Private;11th;Never-married;Sales;Own-child;White;Female;20;<=50K
65;Self-emp-not-inc;HS-grad;Married-civ-spouse;Sales;Husband;White;Male;55;<=50K
41;Private;HS-grad;Never-married;Craft-repair;Not-in-family;White;Male;50;<=50K
31;Private;9th;Never-married;Other-service;Unmarried;White;Female;20;<=50K
56;Private;9th;Divorced;Sales;Unmarried;White;Female;40;<=50K
50;Private;Bachelors;Married-civ-spouse;Exec-managerial;Husband;White;Male;50;>50K
22;Private;Bachelors;Never-married;Adm-clerical;Own-child;White;Female;35;<=50K
36;Local-gov;Some-college;Married-civ-spouse;Protective-serv;Husband;White;Male;48;<=50K
48;Private;Doctorate;Married-civ-spouse;Prof-specialty;Husband;Asian-Pac-Islander;Male;40;>50K
30;Private;HS-grad;Married-civ-spouse;Other-service;Wife;White;Female;30;<=50K
35;Private;Some-college;Married-civ-spouse;Tech-support;Husband;White;Male;45;<=50K
37;Self-emp-not-inc;HS-grad;Married-civ-spouse;Transport-moving;Husband;White;Male;30;<=50K
32;?;HS-grad;Married-civ-spouse;?;Husband;White;Male;5;<=50K
56;Private;Masters;Married-civ-spouse;Exec-managerial;Wife;White;Female;50;<=50K
29;?;HS-grad;Never-married;?;Not-in-family;White;Male;35;<=50K
41;Private;Assoc-acdm;Divorced;Sales;Unmarried;White;Male;40;<=50K
38;State-gov;HS-grad;Never-married;Other-service;Not-in-family;White;Male;40;<=50K
34;Private;9th;Separated;Machine-op-inspct;Unmarried;White;Female;35;<=50K
54;State-gov;12th;Never-married;Other-service;Own-child;White;Male;40;<=50K
36;?;Assoc-voc;Divorced;?;Own-child;White;Male;50;<=50K
42;Private;Assoc-voc;Divorced;Prof-specialty;Not-in-family;White;Female;40;<=50K
33;Private;HS-grad;Married-civ-spouse;Farming-fishing;Husband;White;Male;50;<=50K
21;Private;HS-grad;Never-married;Prof-specialty;Own-child;White;Female;30;<=50K
69;Local-gov;10th;Married-civ-spouse;Transport-moving;Husband;White;Male;10;<=50K
32;Private;Assoc-acdm;Never-married;Sales;Not-in-family;Black;Female;46;<=50K
50;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male;40;<=50K
40;Private;12th;Married-civ-spouse;Other-service;Husband;White;Male;40;<=50K
45;Private;HS-grad;Divorced;Other-service;Not-in-family;White;Female;40;<=50K
31;Private;HS-grad;Married-civ-spouse;Adm-clerical;Husband;White;Male;35;<=50K
24;Private;Bachelors;Married-civ-spouse;Prof-specialty;Wife;White;Female;40;<=50K
28;Private;Bachelors;Never-married;Prof-specialty;Not-in-family;White;Male;60;>50K
21;Private;Assoc-acdm;Never-married;Other-service;Own-child;White;Female;5;<=50K
43;Self-emp-not-inc;Assoc-voc;Divorced;Exec-managerial;Not-in-family;White;Male;25;<=50K
22;Private;HS-grad;Never-married;Sales;Not-in-family;White;Female;25;<=50K
62;Self-emp-not-inc;HS-grad;Married-civ-spouse;Craft-repair;Husband;White;Male;40;<=50K
21;Self-emp-not-inc;Some-college;Never-married;Tech-support;Not-in-family;White;Male;25;<=50K
37;Private;Some-college;Married-civ-spouse;Transport-moving;Husband;White;Male;45;<=50K
34;Private;Some-college;Divorced;Other-service;Unmarried;Black;Female;40;<=50K
74;Self-emp-not-inc;Bachelors;Married-civ-spouse;Exec-managerial;Husband;White;Male;12;>50K
43;Private;Some-college;Divorced;Machine-op-inspct;Unmarried;Black;Female;38;<=50K
25;Private;Some-college;Never-married;Prof-specialty;Not-in-family;White;Female;40;<=50K
43;Private;11th;Married-civ-spouse;Handlers-cleaners;Husband;White;Male;40;<=50K
23;Private;11th;Married-civ-spouse;Other-service;Husband;White;Male;40;<=50K
33;Private;HS-grad;Separated;Machine-op-inspct;Unmarried;Black;Female;40;<=50K
51;State-gov;Bachelors;Married-civ-spouse;Exec-managerial;Husband;White;Male;35;>50K
64;Private;Bachelors;Never-married;Sales;Unmarried;White;Female;40;<=50K
35;Private;Some-college;Never-married;Exec-managerial;Not-in-family;White;Male;50;<=50K
69;Self-emp-not-inc;10th;Married-spouse-absent;Farming-fishing;Not-in-family;White;Male;45;<=50K
32;Private;Bachelors;Married-civ-spouse;Exec-managerial;Husband;White;Male;48;>50K
20;Private;Some-college;Never-married;Other-service;Own-child;White;Female;40;<=50K
66;Self-emp-inc;HS-grad;Married-civ-spouse;Transport-moving;Husband;White;Male;50;>50K
31;Private;Some-college;Never-married;Craft-repair;Not-in-family;White;Male;40;<=50K
22;Private;Some-college;Never-married;Other-service;Own-child;White;Female;24;<=50K
32;Private;Prof-school;Never-married;Prof-specialty;Not-in-family;White;Male;40;<=50K
23;Private;Assoc-acdm;Never-married;Sales;Own-child;White;Female;40;<=50K
21;Private;Some-college;Never-married;Adm-clerical;Own-child;White;Male;40;<=50K
36;Private;HS-grad;Married-civ-spouse;Other-service;Wife;Asian-Pac-Islander;Female;2;<=50K
62;Local-gov;7th-8th;Married-civ-spouse;Craft-repair;Husband;White;Male;40;<=50K
24;Private;HS-grad;Never-married;Handlers-cleaners;Not-in-family;White;Male;40;<=50K
45;Private;Some-college;Married-civ-spouse;Transport-moving;Husband;White;Male;50;>50K
27;Private;11th;Married-civ-spouse;Handlers-cleaners;Husband;White;Male;40;<=50K
38;Private;Prof-school;Married-civ-spouse;Prof-specialty;Husband;White;Male;90;>50K
20;?;Some-college;Never-married;?;Own-child;White;Female;5;<=50K
30;Private;Some-college;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;30;<=50K
17;?;10th;Never-married;?;Own-child;White;Male;20;<=50K
17;?;11th;Never-married;?;Own-child;Black;Male;8;<=50K
21;Self-emp-not-inc;Assoc-voc;Married-civ-spouse;Farming-fishing;Husband;White;Male;40;<=50K
56;Self-emp-not-inc;HS-grad;Married-civ-spouse;Sales;Husband;White;Male;40;<=50K
59;Local-gov;Masters;Widowed;Prof-specialty;Unmarried;White;Female;60;>50K
37;Self-emp-not-inc;Some-college;Divorced;Exec-managerial;Unmarried;White;Female;40;<=50K
52;Private;Some-college;Divorced;Exec-managerial;Unmarried;White;Female;40;<=50K
50;Federal-gov;Some-college;Married-civ-spouse;Exec-managerial;Husband;White;Male;40;>50K
55;Private;Bachelors;Married-civ-spouse;Exec-managerial;Husband;White;Male;60;>50K
55;Private;Bachelors;Married-civ-spouse;Prof-specialty;Husband;White;Male;40;>50K
45;?;HS-grad;Divorced;?;Not-in-family;White;Female;40;<=50K
72;Private;Some-college;Married-civ-spouse;Prof-specialty;Husband;White;Male;20;<=50K
39;Private;Some-college;Divorced;Exec-managerial;Not-in-family;White;Female;40;<=50K
28;Private;12th;Divorced;Machine-op-inspct;Not-in-family;White;Female;40;<=50K
38;Private;Bachelors;Divorced;Tech-support;Other-relative;White;Male;40;<=50K
44;Private;Some-college;Separated;Craft-repair;Not-in-family;White;Male;55;<=50K
51;Self-emp-not-inc;HS-grad;Never-married;Sales;Not-in-family;White;Male;40;<=50K
20;Private;Some-college;Never-married;Other-service;Own-child;White;Male;36;<=50K
25;Private;Some-college;Never-married;Transport-moving;Not-in-family;White;Female;45;<=50K
52;Private;Some-college;Divorced;Sales;Other-relative;White;Female;20;>50K
45;Private;HS-grad;Widowed;Craft-repair;Not-in-family;White;Female;40;<=50K
17;Private;11th;Never-married;Adm-clerical;Own-child;White;Female;12;<=50K
20;Private;HS-grad;Never-married;Other-service;Own-child;Asian-Pac-Islander;Female;15;<=50K
64;Local-gov;Masters;Married-civ-spouse;Prof-specialty;Husband;White;Male;25;<=50K
34;Private;HS-grad;Married-civ-spouse;Adm-clerical;Husband;White;Male;40;<=50K
74;Self-emp-not-inc;Some-college;Married-civ-spouse;Exec-managerial;Husband;White;Male;4;<=50K
58;Federal-gov;11th;Divorced;Craft-repair;Not-in-family;Black;Female;40;>50K
44;Private;Masters;Married-civ-spouse;Prof-specialty;Husband;White;Male;40;>50K
23;State-gov;Assoc-acdm;Never-married;Adm-clerical;Not-in-family;White;Female;25;<=50K
23;Private;HS-grad;Never-married;Handlers-cleaners;Own-child;White;Male;50;<=50K
27;Private;Assoc-voc;Never-married;Tech-support;Other-relative;White;Female;36;<=50K
34;Private;Bachelors;Married-civ-spouse;Sales;Husband;White;Male;45;>50K
18;Private;HS-grad;Never-married;Sales;Own-child;White;Female;24;<=50K
33;Private;11th;Never-married;Sales;Unmarried;Black;Female;17;<=50K
50;Self-emp-not-inc;Some-college;Married-civ-spouse;Craft-repair;Husband;White;Male;48;<=50K
47;Private;HS-grad;Divorced;Sales;Not-in-family;White;Male;50;<=50K
50;Self-emp-inc;Prof-school;Married-civ-spouse;Prof-specialty;Husband;White;Male;55;>50K
18;Private;11th;Never-married;Sales;Own-child;White;Female;15;<=50K
49;Local-gov;Prof-school;Married-civ-spouse;Prof-specialty;Wife;White;Female;60;>50K
34;Private;Some-college;Married-civ-spouse;Handlers-cleaners;Husband;White;Male;50;<=50K
51;Private;Masters;Married-civ-spouse;Prof-specialty;Husband;White;Male;45;>50K
56;State-gov;Some-college;Married-civ-spouse;Exec-managerial;Husband;White;Male;40;>50K
64;Private;HS-grad;Widowed;Adm-clerical;Unmarried;White;Female;8;<=50K
23;Private;Some-college;Never-married;Farming-fishing;Not-in-family;White;Female;50;<=50K
33;Private;Some-college;Married-civ-spouse;Transport-moving;Husband;White;Male;40;<=50K
43;Private;Masters;Married-civ-spouse;Exec-managerial;Husband;White;Male;45;<=50K
60;Federal-gov;HS-grad;Divorced;Exec-managerial;Not-in-family;White;Male;40;>50K
57;State-gov;12th;Divorced;Other-service;Unmarried;White;Female;40;<=50K
22;Private;Bachelors;Never-married;Sales;Not-in-family;White;Male;45;<=50K
23;Private;Bachelors;Never-married;Machine-op-inspct;Own-child;White;Male;40;<=50K
54;Private;Some-college;Married-civ-spouse;Sales;Husband;White;Male;50;>50K
39;Federal-gov;HS-grad;Married-civ-spouse;Adm-clerical;Husband;Black;Male;52;>50K
32;Self-emp-not-inc;Masters;Never-married;Prof-specialty;Not-in-family;White;Male;40;<=50K
20;Private;Some-college;Never-married;Tech-support;Own-child;White;Male;15;<=50K
30;Private;Some-college;Never-married;Exec-managerial;Not-in-family;White;Male;52;<=50K
56;Self-emp-not-inc;HS-grad;Married-civ-spouse;Farming-fishing;Husband;White;Male;45;<=50K
34;Private;HS-grad;Married-civ-spouse;Handlers-cleaners;Husband;White;Male;40;<=50K
32;Private;HS-grad;Never-married;Craft-repair;Unmarried;White;Male;40;<=50K
59;Private;Masters;Married-civ-spouse;Prof-specialty;Husband;White;Male;50;>50K
19;Private;Some-college;Never-married;Prof-specialty;Own-child;White;Male;11;<=50K
60;?;9th;Widowed;?;Not-in-family;White;Female;40;<=50K
29;Private;HS-grad;Married-civ-spouse;Handlers-cleaners;Husband;White;Male;42;<=50K
24;Private;Some-college;Married-civ-spouse;Craft-repair;Husband;White;Male;60;<=50K
41;State-gov;Masters;Divorced;Prof-specialty;Not-in-family;White;Male;35;<=50K
23;Private;7th-8th;Married-civ-spouse;Handlers-cleaners;Other-relative;Other;Female;30;<=50K
32;Private;HS-grad;Married-civ-spouse;Sales;Husband;White;Male;50;>50K
51;Self-emp-inc;HS-grad;Never-married;Sales;Other-relative;White;Male;40;<=50K
18;Private;HS-grad;Never-married;Sales;Own-child;White;Male;10;<=50K
28;Private;Some-college;Never-married;Exec-managerial;Own-child;White;Female;40;<=50K
33;?;Some-college;Married-civ-spouse;?;Wife;White;Female;40;>50K
38;Private;HS-grad;Separated;Transport-moving;Unmarried;Black;Female;30;<=50K
29;Private;Bachelors;Never-married;Prof-specialty;Not-in-family;White;Male;50;<=50K
25;Private;HS-grad;Married-civ-spouse;Transport-moving;Husband;White;Male;45;<=50K
31;Private;Prof-school;Never-married;Tech-support;Not-in-family;White;Male;55;<=50K
34;Private;Bachelors;Married-spouse-absent;Adm-clerical;Not-in-family;White;Female;25;<=50K
34;Private;HS-grad;Married-civ-spouse;Exec-managerial;Husband;White;Male;45;>50K
66;State-gov;HS-grad;Married-civ-spouse;Exec-managerial;Husband;White;Male;40;>50K
41;Private;5th-6th;Married-civ-spouse;Handlers-cleaners;Husband;White;Male;40;<=50K
62;Private;7th-8th;Married-civ-spouse;Prof-specialty;Husband;White;Male;20;<=50K
58;Private;HS-grad;Married-civ-spouse;Craft-repair;Husband;Black;Male;40;<=50K
40;Private;HS-grad;Separated;Exec-managerial;Unmarried;White;Female;40;<=50K
24;Private;Bachelors;Never-married;Exec-managerial;Own-child;Asian-Pac-Islander;Female;40;<=50K
47;Private;HS-grad;Married-civ-spouse;Exec-managerial;Husband;White;Male;40;>50K
19;Private;HS-grad;Never-married;Other-service;Own-child;Black;Male;25;<=50K
32;Private;Some-college;Married-civ-spouse;Craft-repair;Husband;White;Male;45;<=50K
51;State-gov;Some-college;Divorced;Adm-clerical;Not-in-family;White;Female;40;<=50K
25;Private;9th;Married-civ-spouse;Transport-moving;Husband;White;Male;45;<=50K
60;?;Masters;Married-civ-spouse;?;Husband;White;Male;40;<=50K
22;Private;Some-college;Never-married;Transport-moving;Not-in-family;White;Male;40;<=50K
29;Private;Bachelors;Married-civ-spouse;Exec-managerial;Wife;White;Female;50;>50K
20;Private;HS-grad;Married-civ-spouse;Sales;Own-child;White;Male;40;<=50K
42;Private;7th-8th;Divorced;Craft-repair;Unmarried;White;Male;40;<=50K
18;Private;HS-grad;Never-married;Machine-op-inspct;Own-child;White;Male;20;<=50K
23;Private;10th;Married-civ-spouse;Machine-op-inspct;Own-child;Asian-Pac-Islander;Female;40;<=50K
28;Private;Bachelors;Married-civ-spouse;Adm-clerical;Husband;White;Male;40;>50K
55;Private;Bachelors;Divorced;Prof-specialty;Not-in-family;White;Female;40;>50K
40;Private;HS-grad;Divorced;Machine-op-inspct;Not-in-family;Black;Male;40;<=50K
52;Private;Some-college;Divorced;Sales;Not-in-family;White;Male;50;<=50K
37;Private;HS-grad;Divorced;Machine-op-inspct;Unmarried;White;Male;40;>50K
21;Private;Some-college;Never-married;Sales;Own-child;White;Female;22;<=50K
35;Private;Assoc-voc;Never-married;Other-service;Not-in-family;White;Male;60;<=50K
45;Private;Some-college;Divorced;Machine-op-inspct;Unmarried;White;Male;48;<=50K
